Nível,Conta / Descrição Detalhada,out. 2024,nov. 2024,dez. 2024,jan. 25,fev. 25,mar. 25,abr. 25,mai. 25,jun. 25,jul. 25,ago. 25,set. 25,out. 25,nov. 25,dez. 25,jan. 26,fev. 26
6,"(-) Sistemas e Softwares (KOMMO, Zandu, etc.)","R$ 119,90","R$ 0,00","R$ 119,90","R$ 0,00","R$ 119,90","R$ 119,90","R$ 119,90","R$ 159,89","R$ 119,00","R$ 1.523,00","R$ 119,00","R$ 91,23","R$ 0,00","R$ 0,00","R$ 149,00","R$ 149,00","R$ 149,00"
6,(-) Honorários Contabilidade,"R$ 0,00","R$ 0,00","R$ 600,00","R$ 600,00","R$ 600,00","R$ 600,00","R$ 600,00","R$ 450,00","R$ 450,00","R$ 450,00","R$ 1.650,00","R$ 450,00","R$ 450,00","R$ 620,00","R$ 1.830,00","R$ 620,00","R$ 480,00"
6,(-) Marketing e Tráfego ,"R$ 2.411,60","R$ 0,00","R$ 1.841,00","R$ 828,10","R$ 2.115,90","R$ 2.150,00","R$ 2.200,00","R$ 1.400,00","R$ 1.100,00","R$ 1.797,00","R$ 2.397,00","R$ 3.425,00","R$ 2.938,50","R$ 2.933,50","R$ 3.040,00","R$ 2.740,00","R$ 2.540,00"
6,(-) Manutencao Infra e Equipam.,"R$ 3.653,00","R$ 0,00",,"R$ 600,00","R$ 75,00","R$ 0,00","R$ 0,00","R$ 900,00","R$ 457,28","R$ 1.381,59","R$ 1.951,60","R$ 719,32","R$ 1.877,89","R$ 922,75","R$ 705,74","R$ 0,00","R$ 60,00"
6,"(-) Material de Limpeza, Escritório e Copa","R$ 1.808,72","R$ 0,00","R$ 244,97","R$ 200,00","R$ 100,00","R$ 219,18","R$ 0,00","R$ 200,00","R$ 112,85","R$ 362,99","R$ 406,61","R$ 449,49","R$ 167,23","R$ 532,41","R$ 413,76","R$ 47,15","R$ 221,00"
6,TOTAL DESPESAS FIXAS,"R$ 7.993,22","R$ 0,00","R$ 7.034,54","R$ 12.598,30","R$ 10.504,42","R$ 8.258,43","R$ 10.114,03","R$ 9.727,07","R$ 8.797,21","R$ 12.153,50","R$ 13.308,92","R$ 11.926,23","R$ 12.181,43","R$ 12.501,08","R$ 14.722,61","R$ 11.410,69","R$ 11.471,88"
,,,,,,,,,,,,,,,,,,
7,(-) Pró-labore Sócia 1 (Salário + Contas Pessoais),"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
7,(-) Pró-labore Sócia 2 (Salário + Contas Pessoais),"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
,,,,,,,,,,,,,,,,,,
8,(=) LAJIDA (EBITDA),"R$ 312,19","R$ 0,00","-R$ 3.836,09","-R$ 7.223,24","-R$ 2.058,04","R$ 532,33","-R$ 1.315,54","R$ 2.081,77","R$ 3.511,28","R$ 769,89","-R$ 201,24","R$ 1.163,53","R$ 103,47","R$ 2.240,77","R$ 980,41","R$ 81,07","R$ 1.972,67"
,,,,,,,,,,,,,,,,,,
9,(-) Tarifas Bancárias e Manutenção de Conta,"R$ 0,00","R$ 0,00","R$ 40,00","R$ 40,00","R$ 40,00","R$ 45,40","R$ 69,90","R$ 69,90","R$ 75,23","R$ 69,90","R$ 192,69","R$ 75,23","R$ 54,95","R$ 69,90","R$ 75,17","R$ 107,90","R$ 113,23"
9,"(-) Juros e Multas (Boletos atrasados, Empréstimos)","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 61,74","R$ 63,29","R$ 38,01","R$ 1,56","R$ 0,00","R$ 0,00","R$ 1,23","R$ 73,47","R$ 5,30","R$ 0,00","R$ 0,00"
,,,,,,,,,,,,,,,,,,
10,(-) Parcela de Financiamento da Máquina de Laser,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
10,(-) Investimento - Aborte,"R$ 0,00","R$ 0,00","R$ 5.983,60","R$ 8.120,26","R$ 4.013,80","R$ 0,00","R$ 2.500,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 122,49","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
10,"(-) Investimento - Equip., Marca e Infraestrutura","R$ 0,00","R$ 0,00","R$ 1.775,00","R$ 1.205,24","R$ 2.247,33","R$ 777,33","R$ 853,94","R$ 1.245,10","R$ 1.085,60","R$ 729,50","R$ 842,30","R$ 631,66","R$ 679,78","R$ 70.886,27","R$ 2.476,17","R$ 868,17","R$ 867,57"
10,(-) Fundo de Reserva / Manutenção de Disparos,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
,,,,,,,,,,,,,,,,,,
11,(=) LUCRO LÍQUIDO FINAL,"R$ 312,19","R$ 0,00","-R$ 11.634,69","-R$ 16.588,74","-R$ 8.359,17","-R$ 290,40","-R$ 4.801,12","R$ 703,48","R$ 2.312,44","-R$ 31,07","-R$ 1.236,23","R$ 334,15","-R$ 632,49","-R$ 68.788,87","-R$ 1.576,23","-R$ 895,00","R$ 991,87"
12,(-) Transferência para Reserva/Aplicação,,,,,,,,,,,,,,"R$ 30.000,00",,,
12,(+) Resgate Aplicação,,,,,,,,,,,,,,,"R$ 20.104,86","R$ 8,31","R$ 2.714,13"
12,(-) Saída de Sócio / Pagamento de Haveres,,,,,,,,,,,,"R$ 2.000,00","R$ 2.000,00","R$ 27.000,00","R$ 20.000,00","R$ 2.430,00","R$ 2.430,00"
13,(=) SALDO FINAL DE CAIXA,"R$ 312,19","R$ 0,00","-R$ 11.634,69","-R$ 16.588,74","-R$ 8.359,17","-R$ 290,40","-R$ 4.801,12","R$ 703,48","R$ 2.312,44","-R$ 31,07","-R$ 1.236,23","-R$ 1.665,85","-R$ 2.632,49","-R$ 125.788,87","-R$ 1.471,37","-R$ 3.325,00","-R$ 1.438,13"
